"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","—","—","—","—","—"
"77fdfddc-9ceb-4313-9fff-3cf52a1c807a","","Welcome to the Silient Choir","",,"","11:43 29/04/2025"
"7e45d9e8-0aa7-42e4-b3c1-7b03b978d9e8","","We do not speak, we unmake.","",,"","11:44 29/04/2025"
"6210d989-8709-4898-802b-1550c646bc93","","Your voice was the test and your silence the vow.","",,"","11:44 29/04/2025"
"4363f31c-e9c6-43f2-ae72-1700d9fb6b7b","","Rehersal begins when the streetlights glow.","",,"","11:44 29/04/2025"
"769c4b82-d9de-47ab-9bfc-ad1fd484d122","","|killer.nextmurder.victim.fullname| will breathe their last note by your hand.","",,"","19:34 29/04/2025"
"513cac5b-565f-491b-875f-4608f544e0ec","","New Message","",,"","11:50 29/04/2025"
"e8a3ab05-4414-4005-ab91-5867a6db35b8","","The Beginning of Your End","",,"","18:23 29/04/2025"
"f7007d86-27f2-449a-911b-f05e83fe17e4","","The Choir approaches, not in anger - but in need.","",,"","11:57 29/04/2025"
"03a647a1-7e89-4621-87a9-e0387ce6c4f4","","You will be part of something eternal, |killer.lastmurder.victim.firstname|","",,"","12:26 29/04/2025"
"121c039e-bdd1-4d7b-bc7b-6c6253efd9fa","","Let your final note be stillness.","",,"","12:27 29/04/2025"
"c498697c-9ae5-4116-ac94-cee71460c58f","","-The Conductor","",,"","12:30 29/04/2025"
"b4b71902-0371-42b4-8b8c-8c04de47ba3a","","- The Conductor","",,"","12:35 29/04/2025"
"a137a418-0738-4983-a684-581d5d1bab99","","|killer.lastmurder.victim.firstname|'s Song","",,"","12:41 29/04/2025"
"3b0aedf9-1c6f-4697-ada0-8f18736bf2d3","","Your breath is a note in a world gone still.","",,"","12:48 29/04/2025"
"a7c8f83a-d8bb-4e94-a18c-2718af1c92ab","","A final verse that fate must seal.","",,"","12:55 29/04/2025"
"44637bda-110a-4d9d-be5c-a7ee8bc8a12b","","The Choir hums low benerath the street -","",,"","12:43 29/04/2025"
"cfa01f6f-dcbc-46c8-9410-58e1ceaef20f","","A harmony formed when endings meet.","",,"","12:43 29/04/2025"
"15494579-8192-46a8-9eba-15cbc0efbda7","","In stillness, you'll echo - soft and complete.","",,"","12:44 29/04/2025"
"cb59151c-3a26-4a9d-b6bc-2827678875f8","","New Message","",,"","12:57 29/04/2025"
"371bc068-6f5a-49a5-a987-fd2599b6f897","","The new member of the Outer Choir ","",,"","13:00 29/04/2025"
"a11dd60c-fd46-4df9-9c6b-821fa908d609","","|killer.lastmurder.killer.initials| struck true and |killer.lastmurder.victim.firstname|'s silence now joins the sacred harmony. The city trembles slightly more in tune. ","",,"","13:01 29/04/2025"
"daa35faf-a0a1-4faf-8e86-066292bdf317","","|killer.nextmurder.victim.fullname| is their next verse. May it play at |killer.nextmurder.victim.location.name|","",,"","13:04 29/04/2025"
"a050602e-8330-4507-ad17-6ff73d84a8cd","","-The Conductor","",,"","13:05 29/04/2025"
"a0c066ae-439c-44e2-a928-c0401ed32749","","The Choir sings one voice stronger.","",,"","13:19 29/04/2025"
"05c9d3c6-756c-489e-bc4e-e11a983596b5","","Listen closely as the silence grows.","",,"","13:18 29/04/2025"
"6729fa5a-beb4-436d-a757-def8856b07f0","","The verse ends where the pulse once beat.","",,"","13:28 29/04/2025"
"01eea784-681d-416b-ade2-f0de2f380fcd","","Listen closely while the silence grows.","",,"","13:29 29/04/2025"
"ea860b89-dc52-4077-b067-c99db385658b","","One less drum in the city's beat.","",,"","13:32 29/04/2025"
"e1143ca3-2d6e-45fb-a5a7-7aacd7390ec2","","Listen closely for the silence grows.","",,"","13:32 29/04/2025"
"8c4a50bf-c980-4914-b1d5-2b2025ac02c0","","New Message","",,"","13:34 29/04/2025"
"510a5d4a-9cd3-4270-9d8b-b34840661885","","Your Role in the Piece","",,"","18:25 29/04/2025"
"903ab2b7-4bc9-4292-a623-10b279d792e7","","|receiver.firstname|, as your heart pulses it's last beat, |killer.nextmurder.killer.initials| moves closer to the heart of the choir.","",,"","13:29 30/04/2025"
"76289148-168b-4c07-80bf-ea75a4f55d4a","","- The Conductor","",,"","13:36 29/04/2025"
"a6e2e0a5-b961-4032-ad8c-733cbcb817fb","","InitiationVmail02","",,"","18:15 29/04/2025"
"c83aa5c0-64ba-428f-9af9-3572f94ae9ba","","No wrath nor mercy.","",,"","18:24 29/04/2025"
"fc2ad351-dd1c-4dd0-8a34-af359c6f8eeb","","Only the sacred hush where breath once lived.","",,"","18:24 29/04/2025"
"fb46861e-ac3d-438d-827e-6a6709d7822a","","The Choir has named you, |receiver.firstname|, and your final verse draws near.","",,"","09:34 30/04/2025"
"97288b63-b276-4a89-8d01-e429fc051dc6","","- The Silent Choir","",,"","18:24 29/04/2025"
"71ac9ee3-5188-4076-ae33-67a5cf6994eb","","The Hushed Harbinger","",,"","20:24 29/04/2025"
"59114754-3dfc-4f9a-a56f-ed99bc6b3150","","The Silent Slicer","",,"","20:24 29/04/2025"
"5a67d22a-d8df-431d-b74d-a8499d1c464d","","The Choir Cleaver","",,"","20:24 29/04/2025"
"7f05ee86-4791-4c76-9d8e-a948b8d64b2a","","The Melody Maker","",,"","20:24 29/04/2025"
"e94d9395-f4d8-493d-afef-353b5ab2535a","","|writer.fullname|","",,"","19:21 30/04/2025"
"d7260aca-a3cb-4f3b-8ed5-ee24de3bb278","","NEXT","",,"","19:21 30/04/2025"
"f6728349-2f69-4487-9a1c-3928913dbce6","","|writer.home.building|","",,"","19:25 30/04/2025"
