VictimNote1Evidence,,"Note",,,,11:49 05/09/2022
VictimNote2Evidence,,"Paper",,,,11:49 05/09/2022
CallingCardNote1Evidence,,"Note",,,,11:49 05/09/2022
CallingCardNote2Evidence,,"Note",,,,11:49 05/09/2022
CallingCardNote3Evidence,,"Note",,,,11:49 05/09/2022
VictimDossierEvidence,,"Paper",,,,11:49 05/09/2022
InitiationLetterEvidence,,"Note",,,,11:49 05/09/2022
FirstKillLetterEvidence,,"Note",,,,11:49 05/09/2022
KillerNotesCrumpledEvidence,,"Receipt",,,,11:49 05/09/2022
TargetDossierEvidence,,"Photo",,,,11:49 05/09/2022
KillerReceiptClueEvidence,,"Receipt",,,,11:49 05/09/2022
